Date,Num1,Num2,Num3,Num4,Num5,Num6,Dream
2023-11-06,10,13,14,25,30,35,5
2023-11-09,14,16,19,31,32,37,2
2023-11-13,1,6,25,26,33,39,2
2023-11-16,5,11,13,18,25,27,5
2023-11-20,6,13,18,25,26,32,3
2023-11-23,4,15,22,23,28,35,4
2023-11-27,2,18,23,29,33,35,4
2023-11-30,2,14,15,27,36,37,5
2023-12-04,8,12,24,29,30,32,5
2023-12-07,1,3,5,10,32,38,5
2023-12-11,11,18,21,28,30,32,1
2023-12-14,3,8,9,22,27,33,1
2023-12-18,2,16,21,33,35,40,5
2023-12-21,3,15,17,23,26,29,4
2023-12-25,3,12,13,17,21,22,1
2024-01-01,2,5,18,24,28,39,4
2024-01-04,15,21,22,29,30,39,1
2024-01-08,13,19,25,26,33,40,1
2024-01-11,5,7,24,29,31,38,2
2024-01-15,2,6,19,23,33,35,5
2024-01-18,8,16,19,23,30,40,5
2024-01-22,8,16,25,29,31,34,2
2024-01-25,1,2,3,22,26,27,1
2024-01-29,2,8,25,27,29,38,3
2024-02-01,6,12,15,28,33,35,3
2024-02-05,5,9,20,21,25,40,4
2024-02-08,2,19,22,26,36,40,4
2024-02-12,3,4,6,9,10,16,1
2024-02-15,3,5,8,14,16,21,1
2024-02-19,7,20,25,37,38,40,4
2024-02-22,2,8,10,20,24,39,4
2024-02-26,2,15,19,23,37,40,2
2024-02-29,10,11,21,31,38,40,1
2024-03-04,1,10,23,25,29,35,1
2024-03-07,13,15,23,31,35,39,1
2024-03-11,2,7,14,22,37,39,1
2024-03-14,3,12,13,20,27,35,2
2024-03-18,6,8,18,19,24,39,3
2024-03-21,3,8,27,30,33,37,2
2024-03-25,3,12,15,20,25,27,3
2024-03-28,1,7,9,13,18,37,3
2024-04-01,3,10,15,18,26,38,4
2024-04-04,9,10,12,14,20,31,5
2024-04-08,3,13,24,28,36,39,4
2024-04-11,17,19,22,30,35,37,1
2024-04-15,2,13,17,26,33,37,5
2024-04-18,4,13,16,18,28,30,2
2024-04-22,6,23,24,31,32,39,1
2024-04-25,2,16,19,23,24,25,1
2024-04-29,1,17,23,29,36,40,3
2024-05-02,4,10,16,17,26,30,1
2024-05-06,7,17,26,27,32,39,3
2024-05-09,6,7,13,14,24,33,1
2024-05-13,9,20,23,24,37,39,1
2024-05-16,8,9,14,18,23,24,3
2024-05-20,3,14,15,21,23,29,4
2024-05-23,7,8,13,14,23,31,1
2024-05-27,2,7,14,15,23,24,3
2024-05-30,4,10,11,17,24,39,5
2024-06-03,1,3,11,22,34,38,4
2024-06-06,12,15,24,28,29,31,1
2024-06-10,4,7,27,31,33,40,3
2024-06-13,17,19,21,22,23,27,1
2024-06-17,14,16,19,22,23,32,4
2024-06-20,1,2,7,13,19,21,5
2024-06-24,5,13,16,20,23,30,5
2024-06-27,9,13,15,18,27,37,2
2024-07-01,4,8,11,12,20,38,2
2024-07-04,4,8,22,23,27,33,3
