Num1,Num2,Num3,Num4,Num5,Num6,Dream
1,4,10,16,18,27,2
2,6,12,18,21,30,2
2,3,8,14,16,25,2
1,2,7,14,15,24,2
2,3,9,15,17,26,2
6,11,18,22,26,33,2
7,13,20,24,28,35,2
1,4,10,17,19,28,2
5,9,16,21,24,32,2
2,1,7,14,15,23,2
1,3,8,15,17,26,2
6,11,17,21,25,32,2
2,1,6,13,14,22,1
2,1,6,14,15,23,2
4,8,14,19,22,30,2
3,6,12,18,21,29,2
2,1,6,13,14,22,1
2,2,7,14,15,24,2
1,2,7,15,16,24,2
3,7,13,19,21,30,2
1,2,7,15,16,24,2
2,2,7,14,15,24,2
2,1,6,13,14,22,2
1,2,8,15,16,25,2
2,3,9,15,17,26,2
5,10,17,22,26,33,2
1,2,8,15,16,25,2
2,1,7,14,15,23,2
1,3,8,15,17,25,2
1,2,8,15,16,25,2
1,3,9,16,17,26,2
1,4,10,17,19,27,2
3,8,14,19,22,31,2
2,6,13,19,21,30,2
2,3,8,15,16,25,2
2,3,9,15,17,26,2
4,8,15,20,23,31,2
1,2,8,15,16,25,2
1,2,8,15,16,25,2
2,4,10,16,18,26,2
2,6,12,18,20,29,2
5,10,16,21,25,32,2
2,3,8,15,17,25,2
2,2,7,14,15,24,2
2,2,7,14,15,24,2
1,2,8,15,16,25,2
2,2,7,14,15,24,2
3,7,12,18,21,29,2
1,3,9,16,17,26,2
7,12,19,23,28,34,2
2,5,11,17,20,29,2
2,1,6,14,15,23,2
2,2,7,14,15,24,2
2,1,6,14,14,23,2
3,6,12,18,20,29,2
1,4,10,17,18,27,2
2,1,6,13,14,23,2
2,5,10,17,19,27,2
2,6,13,19,21,30,2
2,4,9,16,17,26,2
2,1,7,14,15,23,2
2,1,6,13,14,23,2
5,10,17,21,25,33,2
2,1,6,13,14,22,1
2,3,8,15,16,25,2
2,1,6,13,14,22,1
1,2,7,15,16,24,2
2,1,6,13,14,22,1
1,3,8,15,17,25,2
2,0,6,13,14,22,1
2,7,13,19,21,30,2
2,1,6,13,14,22,2
2,3,9,16,17,26,2
1,4,10,17,18,27,2
1,3,8,15,17,25,2
2,1,7,14,15,23,2
2,5,11,17,19,28,2
1,4,9,16,18,27,2
2,5,10,16,18,27,2
2,2,7,14,15,23,2
1,5,10,17,19,28,2
2,4,9,16,17,26,2
3,8,14,19,22,31,2
1,2,8,15,16,25,2
1,3,9,16,17,26,2
1,3,8,15,17,26,2
2,1,7,14,15,23,2
2,1,7,14,15,23,2
1,3,9,16,17,26,2
2,5,11,17,19,28,2
3,6,12,18,21,29,2
2,2,7,14,15,24,2
2,2,7,14,15,24,2
2,1,7,14,15,23,2
2,2,7,14,16,24,2
1,4,9,16,18,27,2
2,2,8,15,16,25,2
1,5,11,18,20,29,2
2,5,10,16,18,27,2
2,4,9,16,18,26,2
