Num1,Num2,Num3,Num4,Num5,Num6,Refund
12,3,21,39,17,43,4
23,24,21,33,11,22,6
12,32,26,44,39,22,8
9,16,23,41,45,15,2
26,45,41,34,40,29,7
23,11,26,39,15,25,7
27,34,27,17,11,32,7
30,40,20,38,30,40,2
34,32,19,21,36,23,10
5,36,25,19,25,12,11
30,24,23,17,8,42,10
24,13,21,6,27,42,2
25,33,16,21,27,45,2
33,26,27,29,33,24,4
25,21,25,32,20,15,8
35,18,36,38,17,17,10
13,24,19,33,20,9,12
31,33,19,20,20,8,11
20,40,19,36,40,22,6
6,21,14,20,11,42,7
13,42,37,18,27,22,2
9,6,13,35,44,26,8
31,39,42,26,39,8,4
39,35,40,39,20,17,14
13,38,40,38,25,47,4
3,17,9,23,27,32,11
32,36,32,22,18,32,11
24,20,22,18,15,34,13
30,23,36,25,18,11,12
12,40,34,20,26,7,10
11,17,31,21,8,21,7
27,31,39,17,31,7,7
3,7,31,31,15,21,4
29,14,15,19,2,30,13
8,11,9,38,36,12,1
34,36,26,34,16,9,9
35,17,30,27,12,18,14
19,29,31,33,26,43,8
34,34,20,21,24,38,8
11,14,42,47,43,25,5
28,25,25,12,27,8,6
32,34,24,30,13,8,9
2,32,25,32,41,29,5
13,27,27,21,35,26,5
30,20,30,22,18,45,10
38,15,43,32,44,23,14
30,37,25,34,12,30,11
-2,17,42,19,42,34,1
4,3,2,9,37,38,4
27,14,21,26,9,7,16
14,20,31,14,9,10,5
34,23,18,17,17,32,12
24,42,22,40,28,48,11
27,18,34,26,22,24,9
22,21,29,21,35,42,9
19,12,33,18,10,43,5
31,38,36,27,13,35,11
37,33,35,31,12,45,11
38,43,33,40,38,26,13
14,22,24,19,23,42,6
32,18,36,21,32,8,8
23,24,11,23,11,41,7
1,7,33,26,30,10,4
34,37,20,16,36,24,6
3,36,35,16,9,26,8
39,42,21,31,43,31,5
8,20,40,48,48,41,12
31,26,15,26,27,30,4
17,40,43,35,32,36,2
36,16,37,28,28,12,9
34,31,18,33,45,30,9
20,31,16,17,41,31,8
40,29,40,42,22,48,8
7,43,38,16,18,46,8
11,41,31,22,27,17,3
21,13,14,37,38,42,12
38,12,35,39,28,48,13
24,17,18,11,23,9,8
30,13,35,18,19,28,9
34,17,26,30,10,26,14
34,24,17,25,36,19,12
32,37,41,38,16,38,8
23,13,26,31,38,34,11
2,22,31,22,4,40,10
8,7,19,37,49,39,9
33,23,27,34,10,33,16
27,25,14,14,43,38,2
5,17,48,43,35,43,10
12,9,10,6,41,19,2
7,6,8,28,9,5,7
37,32,27,22,40,31,12
21,47,37,36,46,44,2
29,23,27,24,18,17,11
32,26,18,14,38,15,7
5,33,12,34,29,30,3
24,27,16,29,12,20,8
27,12,39,28,49,41,2
20,18,29,18,14,6,9
14,41,34,29,30,18,4
19,27,24,36,34,33,9
