Date;Num1;Num2;Num3;Num4;Num5;Clue
6/02/2005;34;42;47;48;51;5
13/02/2005;22;35;37;43;52;9
20/02/2005;02;13;17;25;47;2
27/02/2005;11;19;20;35;53;3
6/03/2005;12;22;25;35;48;2
13/03/2005;07;17;45;47;50;9
20/03/2005;19;44;49;51;52;8
27/03/2005;09;11;19;31;54;9
3/04/2005;01;02;21;36;52;3
10/04/2005;24;28;33;44;51;8
17/04/2005;12;22;33;40;46;8
24/04/2005;07;12;33;40;44;4
1/05/2005;05;07;16;18;19;8
8/05/2005;21;25;30;50;51;5
15/05/2005;03;18;43;45;53;1
22/05/2005;18;20;32;38;45;7
29/05/2005;04;11;19;37;49;6
5/06/2005;06;13;17;35;39;3
12/06/2005;02;06;23;24;35;6
19/06/2005;07;12;24;37;40;3
26/06/2005;19;20;21;24;33;8
3/07/2005;15;29;39;43;52;5
10/07/2005;03;11;26;34;50;9
17/07/2005;02;14;31;37;38;6
24/07/2005;06;07;15;46;53;0
31/07/2005;18;22;27;31;39;8
7/08/2005;06;12;14;41;49;2
14/08/2005;17;19;40;46;54;1
21/08/2005;06;23;42;43;53;3
28/08/2005;02;04;15;36;44;0
4/09/2005;13;26;32;44;53;0
11/09/2005;03;12;21;42;46;4
18/09/2005;06;19;31;46;53;1
25/09/2005;05;10;25;27;41;9
2/10/2005;12;22;32;37;49;1
9/10/2005;08;11;21;30;38;5
16/10/2005;03;12;23;50;51;3
22/10/2005;06;15;20;39;44;0
29/10/2005;27;34;36;42;46;3
5/11/2005;02;12;22;26;28;9
12/11/2005;03;05;07;38;44;3
19/11/2005;17;18;43;44;45;5
26/11/2005;03;08;30;47;49;7
3/12/2005;08;25;36;39;54;5
10/12/2005;21;32;48;53;54;0
17/12/2005;11;13;29;42;46;7
24/12/2005;07;09;37;47;52;6
31/12/2005;08;18;27;40;52;3
7/01/2006;04;07;31;32;34;2
14/01/2006;11;17;18;32;53;3
21/01/2006;08;18;19;27;45;9
28/01/2006;07;19;32;38;45;6
4/02/2006;01;03;15;32;36;5
11/02/2006;19;20;26;31;39;7
18/02/2006;07;08;09;11;33;1
25/02/2006;23;32;36;46;48;6
4/03/2006;17;22;31;35;40;8
11/03/2006;03;14;17;18;38;5
18/03/2006;25;28;29;45;54;0
25/03/2006;01;02;29;34;53;4
1/04/2006;17;42;48;50;53;1
8/04/2006;01;06;07;17;36;7
15/04/2006;02;10;26;40;45;1
22/04/2006;09;16;19;38;48;9
29/04/2006;16;17;19;28;53;1
6/05/2006;05;29;35;51;54;4
13/05/2006;10;13;24;29;41;1
20/05/2006;15;38;42;44;52;7
27/05/2006;01;10;35;44;48;8
3/06/2006;08;09;18;34;52;8
10/06/2006;09;10;11;21;53;7
17/06/2006;07;11;34;39;49;0
24/06/2006;14;28;38;41;54;7
1/07/2006;04;20;27;40;41;9
9/07/2006;03;15;20;46;49;7
16/07/2006;03;04;12;26;42;7
23/07/2006;06;09;13;33;36;0
30/07/2006;01;08;13;18;23;7
6/08/2006;08;19;20;37;49;7
13/08/2006;10;17;40;44;50;7
20/08/2006;28;32;35;53;54;5
27/08/2006;12;24;28;34;38;1
3/09/2006;03;05;24;40;50;5
10/09/2006;06;08;11;12;54;5
17/09/2006;04;05;19;27;38;9
24/09/2006;05;25;43;48;52;5
1/10/2006;04;15;49;51;52;9
8/10/2006;03;23;24;41;43;8
15/10/2006;02;04;26;34;40;7
22/10/2006;17;21;23;29;32;8
29/10/2006;01;21;32;43;50;2
5/11/2006;03;14;22;37;48;6
12/11/2006;05;16;26;36;37;4
19/11/2006;04;10;16;18;27;0
26/11/2006;16;37;45;51;53;4
3/12/2006;01;10;23;32;49;9
10/12/2006;08;10;25;34;54;3
17/12/2006;13;24;32;33;37;5
24/12/2006;05;09;10;12;33;1
31/12/2006;08;09;25;42;47;5
7/01/2007;03;22;38;50;54;1
14/01/2007;03;13;22;32;53;7
21/01/2007;17;23;25;27;31;2
28/01/2007;17;19;24;47;49;6
4/02/2007;24;25;40;41;43;8
11/02/2007;03;08;11;14;29;0
18/02/2007;09;33;36;42;51;8
25/02/2007;02;08;16;40;42;6
4/03/2007;11;17;20;28;41;0
11/03/2007;05;08;11;15;41;8
18/03/2007;17;18;20;21;47;6
25/03/2007;23;27;40;45;48;0
1/04/2007;11;13;14;20;46;7
8/04/2007;10;12;28;34;42;6
15/04/2007;06;08;25;38;46;1
22/04/2007;09;19;23;28;43;6
29/04/2007;15;26;29;38;46;6
6/05/2007;06;12;23;24;30;0
13/05/2007;09;20;26;27;32;2
20/05/2007;06;29;43;48;49;2
27/05/2007;05;12;24;35;47;7
3/06/2007;01;06;09;14;40;9
10/06/2007;19;20;25;27;36;3
17/06/2007;04;15;19;38;47;8
24/06/2007;04;12;29;30;41;8
1/07/2007;04;08;21;28;42;2
8/07/2007;01;03;33;51;52;6
15/07/2007;06;10;16;24;48;2
22/07/2007;25;38;46;48;49;9
29/07/2007;35;36;48;49;50;8
5/08/2007;01;03;17;49;50;4
12/08/2007;29;35;47;48;53;6
19/08/2007;15;36;38;47;51;6
26/08/2007;15;29;31;39;46;2
2/09/2007;06;16;40;41;53;0
9/09/2007;04;09;25;44;46;5
16/09/2007;11;18;37;47;50;7
23/09/2007;06;22;26;41;42;5
30/09/2007;12;15;32;39;50;4
7/10/2007;03;28;31;37;54;2
14/10/2007;18;32;34;42;54;5
21/10/2007;13;29;34;42;53;2
28/10/2007;13;29;47;52;53;3
4/11/2007;16;19;21;23;54;3
11/11/2007;05;10;18;48;51;6
18/11/2007;11;19;26;27;28;2
25/11/2007;26;39;41;50;53;8
2/12/2007;24;35;43;53;54;1
9/12/2007;07;23;34;39;48;9
16/12/2007;14;25;36;46;53;7
23/12/2007;06;17;31;44;50;0
30/12/2007;06;09;17;39;50;0
6/01/2008;26;29;43;47;50;5
13/01/2008;02;05;21;26;53;8
20/01/2008;02;22;25;28;49;3
27/01/2008;04;07;13;17;20;6
3/02/2008;17;26;37;39;53;8
10/02/2008;02;32;37;38;54;6
17/02/2008;01;10;34;41;48;5
24/02/2008;10;33;37;48;49;9
2/03/2008;16;17;18;32;34;2
9/03/2008;02;33;34;38;51;7
16/03/2008;16;32;34;45;53;7
23/03/2008;18;19;29;31;44;2
30/03/2008;02;04;10;14;41;5
6/04/2008;04;29;41;43;44;3
13/04/2008;16;23;36;46;49;8
20/04/2008;10;19;35;46;47;9
27/04/2008;06;18;23;30;34;4
4/05/2008;22;25;41;43;45;6
11/05/2008;06;14;20;35;53;2
18/05/2008;12;15;29;40;47;6
25/05/2008;04;05;29;37;43;8
1/06/2008;01;11;40;50;53;0
8/06/2008;09;14;25;49;50;0
15/06/2008;09;29;39;46;48;3
22/06/2008;03;10;20;41;47;0
29/06/2008;12;17;39;40;42;3
6/07/2008;07;24;25;36;41;5
13/07/2008;04;07;20;46;47;9
20/07/2008;10;13;20;31;51;1
27/07/2008;03;24;25;38;45;4
3/08/2008;02;18;20;46;54;7
10/08/2008;18;25;26;37;52;9
17/08/2008;01;26;30;47;48;9
24/08/2008;16;40;49;51;52;2
31/08/2008;01;20;39;45;47;1
7/09/2008;17;18;32;46;49;4
14/09/2008;04;26;30;41;54;9
21/09/2008;28;32;36;42;50;9
