Num1,Num2,Num3,Num4,Num5,Clue
33,38,29,27,37,9
9,14,17,25,41,9
28,31,22,20,33,1
44,48,36,29,37,6
34,37,22,12,22,7
34,38,24,16,26,9
27,36,34,33,41,3
30,35,27,22,32,6
17,19,14,13,24,6
19,28,32,33,40,5
13,23,31,34,43,9
37,39,19,7,17,9
23,29,25,18,27,6
31,38,34,23,29,9
32,36,24,15,25,6
11,18,24,30,41,4
32,36,27,21,30,2
32,37,27,17,26,8
8,18,29,41,52,5
20,27,29,27,35,0
14,18,17,21,35,5
38,45,39,32,38,2
13,20,27,29,37,3
28,40,43,43,47,2
20,25,23,20,30,7
34,38,24,14,23,7
25,34,36,33,39,0
15,20,22,28,41,2
28,35,32,28,35,1
36,38,23,14,25,7
34,37,25,18,28,8
6,11,17,24,37,4
11,13,10,15,30,5
29,34,27,19,27,2
17,27,34,38,45,1
17,22,20,19,30,7
19,21,14,10,20,1
30,33,23,20,31,5
30,38,35,26,32,8
19,25,25,22,30,0
36,43,39,34,40,7
36,43,38,37,44,7
37,42,33,28,37,9
31,38,33,28,36,6
26,32,28,27,38,1
8,14,21,28,39,4
35,41,32,21,28,6
40,46,40,39,46,8
8,10,12,19,33,3
21,24,20,17,28,2
20,26,24,19,27,2
36,39,27,25,37,7
5,10,18,27,39,0
30,34,24,14,22,8
28,36,32,36,47,6
28,32,24,20,30,2
8,15,21,28,41,7
27,33,28,20,27,5
6,11,18,29,41,1
12,16,16,20,34,8
34,43,42,43,49,6
26,30,22,16,25,8
17,21,18,17,29,7
30,36,30,27,36,4
7,9,10,15,27,1
33,40,34,24,31,4
33,39,32,28,37,9
11,12,8,11,26,6
31,38,34,26,32,2
12,16,18,22,34,4
24,30,27,21,30,1
33,35,18,6,16,5
34,38,29,24,35,1
34,40,34,32,41,5
34,39,28,16,23,5
28,33,26,17,24,2
19,22,17,16,30,8
26,27,17,13,26,4
8,16,23,32,46,9
24,27,19,12,22,7
21,32,37,42,50,8
36,41,32,24,32,8
21,29,30,30,39,1
9,13,17,20,32,5
24,34,38,38,44,2
32,39,34,30,38,8
12,20,26,33,44,7
29,31,16,6,15,3
34,37,19,8,18,7
13,21,26,31,40,4
20,21,12,7,18,2
30,39,37,29,35,8
39,43,31,19,27,2
38,41,24,12,21,7
20,28,30,35,45,3
22,26,23,18,26,1
21,29,30,28,36,8
24,28,24,20,30,1
36,41,31,26,36,2
35,41,31,22,29,2
