FECHA,COMBINACIÓN GANADORA,,,,,,COMP.,R.,JOKER
24/06/2024,06,12,22,34,36,44,42,1,3772407
22/06/2024,06,09,10,14,16,28,42,7,1955678
20/06/2024,02,27,31,39,47,48,20,9,4008164
17/06/2024,02,08,12,16,22,43,35,8,2517875
15/06/2024,18,31,37,39,45,47,44,0,9951133
13/06/2024,02,05,09,10,19,33,27,0,7720007
10/06/2024,02,05,12,19,28,43,30,2,8327510
8/06/2024,03,04,10,29,31,48,15,8,3398895
6/06/2024,05,14,15,42,44,49,16,5,9812713
3/06/2024,14,18,35,37,47,49,28,8,3599032
1/06/2024,08,12,19,20,24,35,49,0,4822239
30/05/2024,05,11,19,23,29,41,12,0,7314534
27/05/2024,09,14,31,41,42,43,23,6,9082884
25/05/2024,01,03,15,16,20,21,33,9,2072674
23/05/2024,01,09,11,36,38,45,10,7,9838672
20/05/2024,03,10,14,16,28,35,34,3,8165350
18/05/2024,06,20,26,32,38,40,11,1,9922257
16/05/2024,13,20,29,31,36,39,12,8,5048285
13/05/2024,10,15,19,20,27,49,23,2,1847432
11/05/2024,05,31,36,38,40,42,15,8,5789267
9/05/2024,11,16,22,31,37,42,44,8,4520864
6/05/2024,16,18,27,29,35,37,02,5,7974065
4/05/2024,04,05,08,14,17,18,21,6,9077252
2/05/2024,17,22,26,29,44,48,42,3,3485733
29/04/2024,01,11,24,35,42,43,10,3,8579100
27/04/2024,02,03,24,33,48,49,08,0,7868478
25/04/2024,01,21,22,29,41,44,37,1,1183404
22/04/2024,04,14,22,29,35,42,40,1,8201236
20/04/2024,10,12,28,40,43,44,20,2,4487737
18/04/2024,04,13,15,29,34,36,48,5,3338811
15/04/2024,18,21,23,24,30,32,06,7,9305595
13/04/2024,02,03,10,19,26,35,09,4,5932207
11/04/2024,04,09,18,38,41,47,21,3,9380053
8/04/2024,15,16,19,23,39,43,41,1,1737241
6/04/2024,07,10,28,31,34,44,11,1,6718310
4/04/2024,03,09,23,31,34,37,28,5,2513126
1/04/2024,05,07,14,21,34,44,20,6,4959832
30/03/2024,14,26,29,37,38,48,42,8,0578530
28/03/2024,06,07,16,26,36,49,27,1,1365141
25/03/2024,01,25,28,38,41,44,07,7,7815458
23/03/2024,05,23,27,30,32,46,07,7,2816722
21/03/2024,04,17,31,39,48,49,32,8,5946128
18/03/2024,01,16,24,29,40,41,34,9,2910297
16/03/2024,06,14,16,19,39,43,34,2,3511066
14/03/2024,01,07,10,18,41,43,13,2,3753774
11/03/2024,06,16,21,30,33,43,47,6,5096877
9/03/2024,02,09,12,15,17,33,43,5,1607362
7/03/2024,01,03,06,11,22,47,32,8,7863788
4/03/2024,04,08,30,43,47,48,23,3,0792787
2/03/2024,02,10,22,23,33,42,43,3,7456449
29/02/2024,04,18,21,25,35,45,29,9,4003950
26/02/2024,01,24,29,30,44,47,17,7,6546904
24/02/2024,01,14,20,30,47,49,05,6,5658816
22/02/2024,04,06,10,17,26,37,18,8,2050693
19/02/2024,03,13,18,31,33,35,04,7,5154625
17/02/2024,02,12,16,20,32,33,48,8,8606222
15/02/2024,10,13,23,33,36,45,28,2,9724923
12/02/2024,05,18,20,29,31,37,09,6,2189770
10/02/2024,06,07,16,19,27,32,17,9,8192851
8/02/2024,01,03,06,15,26,44,34,3,5493655
5/02/2024,03,05,15,34,39,42,30,6,4926735
3/02/2024,01,07,08,14,35,45,40,8,2033585
1/02/2024,08,14,23,33,35,42,19,8,1969819
29/01/2024,10,11,21,25,32,42,44,5,4130527
27/01/2024,10,19,34,36,45,46,16,5,9679900
25/01/2024,14,18,23,26,32,41,22,0,6660566
22/01/2024,12,21,26,28,43,44,32,8,1569188
20/01/2024,05,08,10,26,42,43,47,7,8733628
18/01/2024,12,17,19,20,43,44,32,0,2621282
15/01/2024,01,02,07,09,21,42,37,1,3288398
13/01/2024,01,11,14,22,37,38,20,4,4704809
11/01/2024,07,12,15,22,35,48,10,4,5742270
8/01/2024,13,14,27,37,39,48,01,9,6543359
6/01/2024,07,11,13,16,30,35,46,4,3281920
4/01/2024,03,07,08,17,18,35,48,1,7329625
1/01/2024,19,23,33,41,45,49,24,9,5726836
30/12/2023,14,31,34,36,38,48,35,5,2940072
28/12/2023,03,11,23,45,47,48,19,1,6750664
25/12/2023,12,13,22,31,33,44,01,7,9309505
23/12/2023,01,06,09,21,29,32,19,6,2903980
21/12/2023,11,15,29,43,46,48,25,3,7977776
18/12/2023,01,09,32,40,45,46,05,2,0402858
16/12/2023,12,14,18,19,36,40,25,9,8144729
14/12/2023,02,27,28,34,45,47,09,6,3415111
11/12/2023,05,11,17,25,34,39,38,2,2487624
9/12/2023,05,08,20,21,23,24,18,7,8786186
7/12/2023,01,03,21,22,27,29,14,3,5164996
4/12/2023,07,11,18,24,44,49,16,1,9020505
2/12/2023,12,17,20,33,35,49,22,0,5337657
30/11/2023,06,07,37,41,43,46,11,9,1811105
27/11/2023,01,15,24,30,38,49,37,4,5213901
25/11/2023,01,05,12,14,40,41,20,2,3124031
23/11/2023,09,14,19,20,27,38,28,8,2585078
20/11/2023,11,17,32,34,37,43,48,7,1051873
18/11/2023,07,08,14,18,36,43,33,9,9546992
16/11/2023,05,10,23,26,33,40,08,3,8047502
13/11/2023,05,12,15,36,41,43,33,3,0783781
11/11/2023,03,07,15,32,43,49,41,4,9019945
9/11/2023,27,31,32,38,39,45,30,0,3752520
6/11/2023,04,23,26,31,35,47,21,3,1377632
4/11/2023,07,13,14,27,40,49,32,8,1946304
2/11/2023,02,14,28,33,36,47,41,8,6247750
30/10/2023,07,18,21,40,45,49,41,2,9617220
28/10/2023,05,09,20,35,43,45,17,2,0039563
26/10/2023,12,13,21,32,38,46,05,4,8157186
23/10/2023,06,15,17,32,33,49,13,8,9244617
21/10/2023,06,20,22,35,47,48,49,0,5963086
19/10/2023,01,05,08,15,28,33,46,8,0151667
16/10/2023,04,05,08,10,27,36,14,6,7858140
14/10/2023,04,06,19,20,40,48,18,6,5530498
12/10/2023,01,03,22,24,31,44,39,3,0037072
9/10/2023,05,07,11,28,36,39,44,8,0864538
7/10/2023,09,17,24,30,38,45,39,4,5335989
5/10/2023,04,06,14,35,40,45,11,2,5828177
2/10/2023,02,03,07,21,34,39,35,4,6579999
30/09/2023,05,06,11,12,14,41,20,2,6102258
28/09/2023,01,14,23,32,39,47,04,7,7066931
25/09/2023,05,10,16,30,33,38,32,3,7407555
23/09/2023,20,21,26,37,42,49,07,7,8882389
21/09/2023,09,16,17,22,39,42,08,8,8862930
18/09/2023,02,07,10,20,31,40,42,7,3397836
16/09/2023,05,10,12,13,32,33,26,7,1188892
14/09/2023,16,24,33,36,44,46,21,3,8831810
11/09/2023,03,05,25,39,43,44,16,8,0508969
9/09/2023,08,11,13,20,27,42,25,8,6756009
