Date,Num1,Num2,Num3,Num4,Num5,Num6,Refund
1988-02-28,6,8,12,23,24,45,-1.0
1988-02-29,11,31,33,34,41,49,-1.0
1988-03-01,8,20,21,29,48,49,-1.0
1988-03-02,8,24,25,29,36,39,-1.0
1988-03-06,2,5,6,20,29,37,-1.0
1988-03-07,1,22,29,39,41,44,-1.0
1988-03-08,1,16,21,31,33,44,-1.0
1988-03-09,1,3,30,32,38,46,-1.0
1988-03-13,15,16,21,23,35,49,-1.0
1988-03-14,1,6,19,34,43,47,-1.0
1988-03-15,7,28,29,34,38,43,-1.0
1988-03-16,6,12,22,25,26,49,-1.0
1988-03-20,7,9,29,32,41,48,-1.0
1988-03-21,5,13,26,27,29,40,-1.0
1988-03-22,3,17,21,32,33,34,-1.0
1988-03-23,6,18,20,36,40,42,-1.0
1988-03-27,5,24,26,43,46,48,-1.0
1988-03-28,2,12,15,17,23,42,-1.0
1988-03-29,2,8,28,33,42,43,-1.0
1988-03-30,2,8,14,22,28,49,-1.0
1988-04-03,1,6,9,16,44,48,-1.0
1988-04-04,8,19,20,30,31,40,-1.0
1988-04-05,9,11,24,31,36,49,-1.0
1988-04-06,15,18,21,22,26,40,-1.0
1988-04-10,2,6,16,17,41,47,-1.0
1988-04-11,8,11,12,35,40,44,-1.0
1988-04-12,7,11,15,26,35,49,-1.0
1988-04-13,10,20,27,32,43,45,-1.0
1988-04-17,17,20,22,25,32,48,-1.0
1988-04-18,6,29,31,33,34,38,-1.0
1988-04-19,17,23,28,33,36,38,-1.0
1988-04-20,12,17,24,29,45,49,-1.0
1988-04-24,4,14,17,19,27,44,-1.0
1988-04-25,3,8,19,30,36,40,-1.0
1988-04-26,6,18,23,29,31,33,-1.0
1988-04-27,6,9,11,27,36,37,-1.0
1988-05-01,11,16,32,33,48,49,-1.0
1988-05-02,2,14,19,29,34,43,-1.0
1988-05-03,7,20,22,23,25,26,-1.0
1988-05-04,3,17,20,30,39,49,-1.0
1988-05-08,13,23,28,38,40,41,-1.0
1988-05-09,8,9,13,36,46,47,-1.0
1988-05-10,11,15,32,39,40,49,-1.0
1988-05-11,2,9,21,24,31,44,-1.0
1988-05-15,13,14,15,34,43,47,-1.0
1988-05-16,1,4,12,18,29,47,-1.0
1988-05-17,7,22,35,44,47,48,-1.0
1988-05-18,14,30,32,34,40,46,-1.0
1988-05-22,1,10,12,19,48,49,-1.0
1988-05-23,2,6,18,25,29,36,-1.0
1988-05-24,4,7,10,15,34,35,-1.0
1988-05-25,9,16,21,33,44,49,-1.0
1988-05-29,1,6,11,21,45,47,-1.0
1988-05-30,1,9,20,39,40,48,-1.0
1988-05-31,10,13,18,25,39,41,-1.0
1988-06-01,14,20,32,38,47,49,-1.0
1988-06-05,9,31,37,39,47,48,-1.0
1988-06-06,20,28,29,31,36,41,-1.0
1988-06-07,6,10,11,14,39,47,-1.0
1988-06-08,3,18,21,33,46,48,-1.0
1988-06-12,3,8,11,14,33,35,-1.0
1988-06-13,9,17,18,21,22,47,-1.0
1988-06-14,12,14,16,26,27,29,-1.0
1988-06-15,3,11,20,21,26,31,-1.0
1988-06-19,9,12,25,37,46,47,-1.0
1988-06-20,4,6,36,45,46,49,-1.0
1988-06-21,10,13,16,28,30,48,-1.0
1988-06-22,4,8,10,12,39,42,-1.0
1988-06-26,9,11,14,21,43,48,-1.0
1988-06-27,2,17,24,31,40,49,-1.0
1988-06-28,10,16,18,27,29,46,-1.0
1988-06-29,2,11,23,28,29,49,-1.0
1988-07-03,4,7,34,41,43,49,-1.0
1988-07-04,12,16,18,32,39,49,-1.0
1988-07-05,1,5,13,30,39,46,-1.0
1988-07-06,2,21,37,38,39,40,-1.0
1988-07-10,12,17,36,45,47,49,-1.0
1988-07-11,7,17,28,34,36,44,-1.0
1988-07-12,1,12,15,18,22,43,-1.0
1988-07-13,2,18,19,21,26,48,-1.0
1988-07-17,10,15,22,36,45,47,-1.0
1988-07-18,1,9,10,14,18,26,-1.0
