Date,Num1,Num2,Num3,Num4,Num5,Clue
2005-02-06,34,42,47,48,51,5
2005-02-13,22,35,37,43,52,9
2005-02-20,2,13,17,25,47,2
2005-02-27,11,19,20,35,53,3
2005-03-06,12,22,25,35,48,2
2005-03-13,7,17,45,47,50,9
2005-03-20,19,44,49,51,52,8
2005-03-27,9,11,19,31,54,9
2005-04-03,1,2,21,36,52,3
2005-04-10,24,28,33,44,51,8
2005-04-17,12,22,33,40,46,8
2005-04-24,7,12,33,40,44,4
2005-05-01,5,7,16,18,19,8
2005-05-08,21,25,30,50,51,5
2005-05-15,3,18,43,45,53,1
2005-05-22,18,20,32,38,45,7
2005-05-29,4,11,19,37,49,6
2005-06-05,6,13,17,35,39,3
2005-06-12,2,6,23,24,35,6
2005-06-19,7,12,24,37,40,3
2005-06-26,19,20,21,24,33,8
2005-07-03,15,29,39,43,52,5
2005-07-10,3,11,26,34,50,9
2005-07-17,2,14,31,37,38,6
2005-07-24,6,7,15,46,53,0
2005-07-31,18,22,27,31,39,8
2005-08-07,6,12,14,41,49,2
2005-08-14,17,19,40,46,54,1
2005-08-21,6,23,42,43,53,3
2005-08-28,2,4,15,36,44,0
2005-09-04,13,26,32,44,53,0
2005-09-11,3,12,21,42,46,4
2005-09-18,6,19,31,46,53,1
2005-09-25,5,10,25,27,41,9
2005-10-02,12,22,32,37,49,1
2005-10-09,8,11,21,30,38,5
2005-10-16,3,12,23,50,51,3
2005-10-22,6,15,20,39,44,0
2005-10-29,27,34,36,42,46,3
2005-11-05,2,12,22,26,28,9
2005-11-12,3,5,7,38,44,3
2005-11-19,17,18,43,44,45,5
2005-11-26,3,8,30,47,49,7
2005-12-03,8,25,36,39,54,5
2005-12-10,21,32,48,53,54,0
2005-12-17,11,13,29,42,46,7
2005-12-24,7,9,37,47,52,6
2005-12-31,8,18,27,40,52,3
2006-01-07,4,7,31,32,34,2
2006-01-14,11,17,18,32,53,3
2006-01-21,8,18,19,27,45,9
2006-01-28,7,19,32,38,45,6
2006-02-04,1,3,15,32,36,5
2006-02-11,19,20,26,31,39,7
2006-02-18,7,8,9,11,33,1
2006-02-25,23,32,36,46,48,6
2006-03-04,17,22,31,35,40,8
2006-03-11,3,14,17,18,38,5
2006-03-18,25,28,29,45,54,0
2006-03-25,1,2,29,34,53,4
2006-04-01,17,42,48,50,53,1
2006-04-08,1,6,7,17,36,7
2006-04-15,2,10,26,40,45,1
2006-04-22,9,16,19,38,48,9
2006-04-29,16,17,19,28,53,1
2006-05-06,5,29,35,51,54,4
2006-05-13,10,13,24,29,41,1
2006-05-20,15,38,42,44,52,7
2006-05-27,1,10,35,44,48,8
2006-06-03,8,9,18,34,52,8
2006-06-10,9,10,11,21,53,7
2006-06-17,7,11,34,39,49,0
2006-06-24,14,28,38,41,54,7
2006-07-01,4,20,27,40,41,9
2006-07-09,3,15,20,46,49,7
2006-07-16,3,4,12,26,42,7
2006-07-23,6,9,13,33,36,0
2006-07-30,1,8,13,18,23,7
2006-08-06,8,19,20,37,49,7
2006-08-13,10,17,40,44,50,7
2006-08-20,28,32,35,53,54,5
2006-08-27,12,24,28,34,38,1
2006-09-03,3,5,24,40,50,5
2006-09-10,6,8,11,12,54,5
2006-09-17,4,5,19,27,38,9
2006-09-24,5,25,43,48,52,5
2006-10-01,4,15,49,51,52,9
2006-10-08,3,23,24,41,43,8
2006-10-15,2,4,26,34,40,7
2006-10-22,17,21,23,29,32,8
2006-10-29,1,21,32,43,50,2
2006-11-05,3,14,22,37,48,6
2006-11-12,5,16,26,36,37,4
2006-11-19,4,10,16,18,27,0
2006-11-26,16,37,45,51,53,4
2006-12-03,1,10,23,32,49,9
2006-12-10,8,10,25,34,54,3
2006-12-17,13,24,32,33,37,5
2006-12-24,5,9,10,12,33,1
2006-12-31,8,9,25,42,47,5
2007-01-07,3,22,38,50,54,1
2007-01-14,3,13,22,32,53,7
2007-01-21,17,23,25,27,31,2
2007-01-28,17,19,24,47,49,6
2007-02-04,24,25,40,41,43,8
2007-02-11,3,8,11,14,29,0
2007-02-18,9,33,36,42,51,8
2007-02-25,2,8,16,40,42,6
2007-03-04,11,17,20,28,41,0
2007-03-11,5,8,11,15,41,8
2007-03-18,17,18,20,21,47,6
